latitude,longitude,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Time
52.8,-116.84,edson,ca,1.4,77.0,90.0,3.36,2018-02-02 00:38:00
50.45,141.89,aleksandrovsk-sakhalinskiy,ru,0.56,100.0,36.0,2.53,2018-02-02 01:11:23
-3.93,117.63,majene,id,83.63,95.0,24.0,8.79,2018-02-02 01:13:26
-23.57,19.56,aranos,na,77.28,44.0,64.0,12.59,2018-02-02 01:13:29
-2.13,-27.12,natal,br,78.8,88.0,40.0,4.7,2018-02-02 01:00:00
65.72,46.95,leshukonskoye,ru,14.01,86.0,88.0,3.2,2018-02-02 01:10:21
-12.83,33.02,kasungu,mw,69.68,92.0,92.0,3.98,2018-02-02 01:10:56
44.78,29.89,sfantu gheorghe,ro,35.6,70.0,44.0,2.64,2018-02-02 01:00:00
-79.99,57.62,east london,za,72.83,100.0,12.0,18.07,2018-02-02 01:16:10
39.38,-132.77,fortuna,us,55.4,81.0,1.0,5.82,2018-02-02 00:35:00
-45.58,174.91,christchurch,nz,57.2,71.0,92.0,14.99,2018-02-02 00:30:00
14.0,76.83,hiriyur,in,50.46,77.0,0.0,4.43,2018-02-02 01:14:52
9.58,35.12,mendi,et,62.21,61.0,12.0,6.44,2018-02-02 01:10:17
74.91,30.82,berlevag,no,16.53,100.0,88.0,3.2,2018-02-02 01:16:06
32.2,81.01,joshimath,in,0.24,87.0,0.0,0.63,2018-02-02 01:15:33
53.9,123.46,takhtamygda,ru,-22.62,32.0,24.0,2.53,2018-02-02 01:14:16
75.03,23.8,havoysund,no,14.0,78.0,0.0,3.36,2018-02-02 00:20:00
85.41,167.95,pevek,ru,-1.02,69.0,12.0,3.98,2018-02-02 01:14:27
4.11,-29.95,touros,br,79.58,87.0,76.0,9.24,2018-02-02 01:10:19
61.49,47.46,kharitonovo,ru,-4.31,53.0,56.0,3.2,2018-02-02 01:11:09
27.95,54.06,gerash,ir,41.0,35.0,0.0,2.19,2018-02-02 00:00:00
-16.42,16.23,ondjiva,ao,72.11,56.0,44.0,9.13,2018-02-02 01:15:27
58.08,-135.23,juneau,us,21.2,44.0,90.0,6.93,2018-02-02 00:56:00
21.68,45.05,riyadh,sa,46.4,31.0,0.0,4.7,2018-02-02 00:00:00
9.85,5.3,kontagora,ng,67.25,47.0,0.0,6.22,2018-02-02 01:16:16
3.98,49.78,hobyo,so,74.4,91.0,80.0,16.84,2018-02-02 01:10:42
47.58,-87.89,marquette,us,10.4,65.0,90.0,13.87,2018-02-02 00:45:00
66.57,165.44,bilibino,ru,-5.88,56.0,0.0,2.19,2018-02-02 01:16:14
86.91,-92.8,qaanaaq,gl,-21.81,90.0,0.0,9.69,2018-02-02 01:15:38
-30.67,152.12,armidale,au,60.68,82.0,80.0,6.55,2018-02-02 01:16:16
51.49,-77.74,matagami,ca,-4.01,70.0,1.0,11.41,2018-02-02 00:00:00
20.32,-119.48,constitucion,mx,57.2,71.0,90.0,4.7,2018-02-02 00:43:00
0.84,27.62,wamba,cd,72.24,54.0,8.0,4.43,2018-02-02 01:11:03
-7.41,-28.92,pitimbu,br,78.8,83.0,40.0,4.7,2018-02-02 01:00:00
